identity,reference_image,detector_success,det_thresh,bbox
14,Data/img_align_celeba/051809.jpg,True,0.1,"[37.42866516113281,61.719482421875,126.65569305419922,187.2334747314453]"
14,Data/img_align_celeba/052645.jpg,True,0.1,"[49.465301513671875,65.55602264404297,130.68496704101562,183.206298828125]"
14,Data/img_align_celeba/055899.jpg,True,0.1,"[46.0565185546875,65.1802749633789,129.70431518554688,183.8713836669922]"
95,Data/img_align_celeba/032499.jpg,True,0.1,"[48.293094635009766,69.89453887939453,133.9261016845703,190.65664672851562]"
95,Data/img_align_celeba/033427.jpg,True,0.1,"[55.91590881347656,66.7550048828125,149.0413055419922,193.2373046875]"
95,Data/img_align_celeba/041180.jpg,True,0.1,"[43.31488800048828,69.8073501586914,134.23643493652344,186.0110626220703]"
102,Data/img_align_celeba/024132.jpg,True,0.1,"[20.705873489379883,52.44390106201172,111.36872100830078,188.7189178466797]"
102,Data/img_align_celeba/031792.jpg,True,0.1,"[51.13649368286133,62.845245361328125,133.46688842773438,180.73033142089844]"
102,Data/img_align_celeba/045696.jpg,True,0.1,"[32.385826110839844,59.104549407958984,117.48078155517578,184.82684326171875]"
220,Data/img_align_celeba/019266.jpg,True,0.1,"[54.393882751464844,56.09930419921875,151.6248321533203,184.54656982421875]"
220,Data/img_align_celeba/024919.jpg,True,0.1,"[46.337276458740234,67.57291412353516,124.6422348022461,184.1915283203125]"
220,Data/img_align_celeba/031223.jpg,True,0.1,"[30.970623016357422,68.38492584228516,116.01905059814453,187.02987670898438]"
222,Data/img_align_celeba/016313.jpg,True,0.1,"[25.286354064941406,73.1124267578125,120.27201843261719,184.90255737304688]"
222,Data/img_align_celeba/035502.jpg,True,0.1,"[57.46677780151367,81.50621795654297,134.56521606445312,179.21290588378906]"
222,Data/img_align_celeba/036967.jpg,True,0.1,"[62.69824981689453,61.81050491333008,159.23870849609375,192.2406463623047]"
238,Data/img_align_celeba/010355.jpg,True,0.1,"[44.45642852783203,63.17032241821289,130.0708770751953,174.49655151367188]"
238,Data/img_align_celeba/015935.jpg,True,0.1,"[29.671646118164062,50.48369216918945,124.73917388916016,193.65231323242188]"
238,Data/img_align_celeba/017708.jpg,True,0.1,"[40.140380859375,66.55780029296875,130.1930694580078,184.35409545898438]"
289,Data/img_align_celeba/026710.jpg,True,0.1,"[46.80862045288086,59.82059860229492,130.97076416015625,185.69509887695312]"
289,Data/img_align_celeba/034994.jpg,True,0.1,"[51.397193908691406,63.60107421875,133.36143493652344,182.89593505859375]"
289,Data/img_align_celeba/038904.jpg,True,0.1,"[35.31494140625,58.91291046142578,123.84660339355469,186.825927734375]"
294,Data/img_align_celeba/087298.jpg,True,0.1,"[62.263824462890625,66.44952392578125,145.14889526367188,182.5696563720703]"
294,Data/img_align_celeba/091201.jpg,True,0.1,"[45.02268600463867,63.31937789916992,136.08343505859375,186.5565185546875]"
294,Data/img_align_celeba/096793.jpg,True,0.1,"[49.2679328918457,65.88816833496094,136.16561889648438,181.12033081054688]"
358,Data/img_align_celeba/039249.jpg,True,0.1,"[58.13141632080078,67.21467590332031,133.12686157226562,179.97906494140625]"
358,Data/img_align_celeba/041850.jpg,True,0.1,"[31.241865158081055,57.458919525146484,113.41317749023438,182.17745971679688]"
358,Data/img_align_celeba/050492.jpg,True,0.1,"[32.42721176147461,59.400325775146484,117.22135925292969,180.3812255859375]"
384,Data/img_align_celeba/015512.jpg,True,0.1,"[30.363670349121094,56.101341247558594,128.19081115722656,188.85389709472656]"
384,Data/img_align_celeba/016341.jpg,True,0.1,"[49.60601043701172,61.608482360839844,136.27011108398438,182.625732421875]"
384,Data/img_align_celeba/028984.jpg,True,0.1,"[51.143890380859375,52.196903228759766,142.7191162109375,190.4286651611328]"
409,Data/img_align_celeba/036433.jpg,True,0.1,"[47.91377258300781,64.68177795410156,136.4580535888672,186.20960998535156]"
409,Data/img_align_celeba/039703.jpg,True,0.1,"[45.111515045166016,64.28679656982422,136.73532104492188,184.13307189941406]"
409,Data/img_align_celeba/040070.jpg,True,0.1,"[24.188570022583008,56.221649169921875,119.78498840332031,192.4968719482422]"
437,Data/img_align_celeba/010711.jpg,True,0.1,"[48.88239669799805,67.6419677734375,137.5640411376953,182.44406127929688]"
437,Data/img_align_celeba/027183.jpg,True,0.1,"[48.371192932128906,64.37096405029297,133.75726318359375,182.31546020507812]"
437,Data/img_align_celeba/038238.jpg,True,0.1,"[48.11946487426758,62.63445281982422,134.98565673828125,184.0173797607422]"
507,Data/img_align_celeba/047953.jpg,True,0.1,"[60.555782318115234,66.23295593261719,139.5573272705078,179.56045532226562]"
507,Data/img_align_celeba/065840.jpg,True,0.1,"[45.70975875854492,64.55189514160156,125.403564453125,182.85641479492188]"
507,Data/img_align_celeba/068337.jpg,True,0.1,"[52.4286003112793,66.15177917480469,132.04139709472656,182.13674926757812]"
610,Data/img_align_celeba/033908.jpg,True,0.1,"[53.50376892089844,70.7602767944336,141.18185424804688,179.83424377441406]"
610,Data/img_align_celeba/036408.jpg,True,0.1,"[47.030391693115234,46.843711853027344,141.3717041015625,185.6175537109375]"
610,Data/img_align_celeba/043072.jpg,True,0.1,"[46.25115203857422,58.4951286315918,131.54391479492188,182.45001220703125]"
708,Data/img_align_celeba/016857.jpg,True,0.1,"[41.50420379638672,55.71963119506836,132.45620727539062,189.5652313232422]"
708,Data/img_align_celeba/017585.jpg,True,0.1,"[42.51265335083008,58.74306106567383,133.998779296875,190.2948455810547]"
708,Data/img_align_celeba/025565.jpg,True,0.1,"[31.808401107788086,61.171730041503906,118.89525604248047,183.49261474609375]"
831,Data/img_align_celeba/008813.jpg,True,0.1,"[53.541500091552734,68.79283905029297,138.77871704101562,183.04074096679688]"
831,Data/img_align_celeba/013640.jpg,True,0.1,"[50.92103576660156,67.09368896484375,129.1922607421875,179.1763153076172]"
831,Data/img_align_celeba/018660.jpg,True,0.1,"[51.787166595458984,60.49921798706055,147.8012237548828,189.931884765625]"
850,Data/img_align_celeba/048181.jpg,True,0.1,"[53.339080810546875,69.75695037841797,135.8512725830078,177.77584838867188]"
850,Data/img_align_celeba/049814.jpg,True,0.1,"[47.09052276611328,61.48836898803711,135.4196319580078,180.02330017089844]"
850,Data/img_align_celeba/052342.jpg,True,0.1,"[16.191137313842773,36.891849517822266,111.24352264404297,205.9040069580078]"
900,Data/img_align_celeba/040387.jpg,True,0.1,"[39.94643783569336,56.2654914855957,133.71975708007812,183.6223602294922]"
900,Data/img_align_celeba/045158.jpg,True,0.1,"[42.15717315673828,58.69743728637695,127.52104949951172,182.23487854003906]"
900,Data/img_align_celeba/051647.jpg,True,0.1,"[42.35268783569336,57.225929260253906,131.70619201660156,183.87860107421875]"
909,Data/img_align_celeba/015684.jpg,True,0.1,"[44.209041595458984,56.08449172973633,128.16461181640625,186.73089599609375]"
909,Data/img_align_celeba/034885.jpg,True,0.1,"[28.802143096923828,54.627349853515625,116.83616638183594,192.646728515625]"
909,Data/img_align_celeba/035622.jpg,True,0.1,"[51.578765869140625,62.792449951171875,130.40834045410156,179.126220703125]"
931,Data/img_align_celeba/024809.jpg,True,0.1,"[48.18574523925781,62.5173225402832,130.9295196533203,180.24017333984375]"
931,Data/img_align_celeba/031804.jpg,True,0.1,"[45.74210739135742,64.45492553710938,129.3170166015625,176.52096557617188]"
931,Data/img_align_celeba/033308.jpg,True,0.1,"[41.60405349731445,66.99324035644531,122.51083374023438,178.44839477539062]"
955,Data/img_align_celeba/015701.jpg,True,0.1,"[53.49860763549805,62.5947151184082,132.4237823486328,177.2125701904297]"
955,Data/img_align_celeba/024077.jpg,True,0.1,"[51.94575881958008,56.605323791503906,142.3956756591797,184.41201782226562]"
955,Data/img_align_celeba/026925.jpg,True,0.1,"[31.923246383666992,56.767051696777344,114.0466537475586,184.38380432128906]"
1116,Data/img_align_celeba/040824.jpg,True,0.1,"[59.39714431762695,65.06352233886719,151.83200073242188,183.9356231689453]"
1116,Data/img_align_celeba/042326.jpg,True,0.1,"[48.29948806762695,71.24996185302734,134.45359802246094,176.2161865234375]"
1116,Data/img_align_celeba/053126.jpg,True,0.1,"[57.499568939208984,73.41917419433594,136.41162109375,182.43218994140625]"
1221,Data/img_align_celeba/013221.jpg,True,0.1,"[30.962493896484375,64.75120544433594,121.32623291015625,178.6517791748047]"
1221,Data/img_align_celeba/021228.jpg,True,0.1,"[52.005001068115234,62.443321228027344,135.66941833496094,181.46243286132812]"
1221,Data/img_align_celeba/025427.jpg,True,0.1,"[31.818805694580078,62.298336029052734,115.12671661376953,179.1131134033203]"
1351,Data/img_align_celeba/024515.jpg,True,0.1,"[47.4412841796875,68.44718170166016,137.48301696777344,185.06849670410156]"
1351,Data/img_align_celeba/025977.jpg,True,0.1,"[44.011322021484375,63.97665786743164,131.5087432861328,186.44573974609375]"
1351,Data/img_align_celeba/027569.jpg,True,0.1,"[58.363643646240234,61.65901565551758,141.79867553710938,177.56668090820312]"
1368,Data/img_align_celeba/008132.jpg,True,0.1,"[58.8581657409668,63.62274169921875,144.11419677734375,177.8536376953125]"
1368,Data/img_align_celeba/016451.jpg,True,0.1,"[58.900630950927734,60.60615539550781,143.9539337158203,176.93148803710938]"
1368,Data/img_align_celeba/042839.jpg,True,0.1,"[56.044464111328125,57.38199234008789,137.8366241455078,178.88153076171875]"
1375,Data/img_align_celeba/029236.jpg,True,0.1,"[59.371131896972656,69.73031616210938,142.3418731689453,181.96534729003906]"
1375,Data/img_align_celeba/032521.jpg,True,0.1,"[49.456390380859375,54.30213928222656,149.40097045898438,188.51377868652344]"
1375,Data/img_align_celeba/044063.jpg,True,0.1,"[56.56782913208008,60.18385696411133,142.7396240234375,177.00148010253906]"
1420,Data/img_align_celeba/024603.jpg,True,0.1,"[49.098907470703125,67.4071044921875,128.1648406982422,176.23190307617188]"
1420,Data/img_align_celeba/027596.jpg,True,0.1,"[40.784603118896484,68.4222640991211,122.47938537597656,179.18698120117188]"
1420,Data/img_align_celeba/037207.jpg,True,0.1,"[49.70872497558594,65.50182342529297,130.75172424316406,178.13485717773438]"
1426,Data/img_align_celeba/046033.jpg,True,0.1,"[46.340457916259766,66.94822692871094,135.35694885253906,182.44989013671875]"
1426,Data/img_align_celeba/054861.jpg,True,0.1,"[47.74604415893555,66.98831176757812,133.869140625,181.77532958984375]"
1426,Data/img_align_celeba/061317.jpg,True,0.1,"[48.81328582763672,64.7890853881836,137.82489013671875,185.3211212158203]"
1435,Data/img_align_celeba/013153.jpg,True,0.1,"[50.41938781738281,67.20664978027344,131.07920837402344,178.90602111816406]"
1435,Data/img_align_celeba/014674.jpg,True,0.1,"[49.2041130065918,65.33155059814453,127.0909652709961,176.7125701904297]"
1435,Data/img_align_celeba/022715.jpg,True,0.1,"[53.60598373413086,61.9329948425293,134.13702392578125,178.38658142089844]"
1489,Data/img_align_celeba/043176.jpg,True,0.1,"[41.1860237121582,66.02259826660156,133.09466552734375,183.68479919433594]"
1489,Data/img_align_celeba/044093.jpg,True,0.1,"[47.119056701660156,65.82256317138672,133.7299041748047,186.69129943847656]"
1489,Data/img_align_celeba/054516.jpg,True,0.1,"[55.43973159790039,70.21366119384766,132.34706115722656,176.36753845214844]"
