run_key,experiment_name,forget_id,policy,FA,EA,RA,ERB,IdentityLeak@1,IdentityLeak@4,IdentityLeak@8,mean_target_similarity,max_target_similarity,RA_hard,RA_random,hard_neighbor_retention_gap,forget_sample_count,retain_sample_count,total_sample_count,detector_success_rate,fallback_sample_count,attempted_sample_count,evaluated_sample_count,dropped_no_face_count,det_thresh,use_fallback,after_dir,threshold
expanded_437/nearest_hard,expanded_437,437,nearest_hard,29.166666666666668,70.83333333333333,87.5,78.28947368421053,0.0,100.0,100.0,0.6911170929670334,0.7225484848022461,83.33333333333334,91.66666666666666,-8.333333333333314,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_437/nearest_hard_gen,0.14650361239910126
expanded_437/random_hard,expanded_437,437,random_hard,0.0,100.0,87.5,93.33333333333333,0.0,0.0,0.0,0.182738213489453,0.20104414224624634,83.33333333333334,91.66666666666666,-8.333333333333314,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_437/random_hard_gen,0.14650361239910126
expanded_437/median_hard,expanded_437,437,median_hard,0.0,100.0,87.5,93.33333333333333,0.0,0.0,0.0,0.182738213489453,0.20104414224624634,83.33333333333334,91.66666666666666,-8.333333333333314,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_437/median_hard_gen,0.14650361239910126
expanded_437/least_sim_hard,expanded_437,437,least_sim_hard,0.0,100.0,88.11188811188812,93.68029739776954,0.0,0.0,0.0,0.17896555519352356,0.20831939578056335,83.33333333333334,92.95774647887323,-9.62441314553989,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_437/least_sim_hard_gen,0.14650361239910126
expanded_900/nearest_hard,expanded_900,900,nearest_hard,100.0,0.0,85.5072463768116,0.0,100.0,100.0,100.0,0.7791323612133662,0.8086086511611938,73.23943661971832,98.50746268656717,-25.268026066848847,24,138,162,100.0,0,168,162,6,0.1,False,outputs/expanded_900/nearest_hard_gen,0.14650361239910126
expanded_900/random_hard,expanded_900,900,random_hard,100.0,0.0,85.5072463768116,0.0,100.0,100.0,100.0,0.7791323612133662,0.8086086511611938,73.23943661971832,98.50746268656717,-25.268026066848847,24,138,162,100.0,0,168,162,6,0.1,False,outputs/expanded_900/random_hard_gen,0.14650361239910126
expanded_900/median_hard,expanded_900,900,median_hard,0.0,100.0,85.5072463768116,92.1875,0.0,0.0,0.0,0.28648533920447034,0.3354950249195099,73.23943661971832,98.50746268656717,-25.268026066848847,24,138,162,100.0,0,168,162,6,0.1,False,outputs/expanded_900/median_hard_gen,0.14650361239910126
expanded_900/least_sim_hard,expanded_900,900,least_sim_hard,0.0,100.0,85.5072463768116,92.1875,0.0,0.0,0.0,0.196167616173625,0.2377011477947235,73.23943661971832,98.50746268656717,-25.268026066848847,24,138,162,100.0,0,168,162,6,0.1,False,outputs/expanded_900/least_sim_hard_gen,0.14650361239910126
expanded_909/nearest_hard,expanded_909,909,nearest_hard,0.0,100.0,83.80281690140845,91.18773946360152,0.0,0.0,0.0,0.7466454449154082,0.7813345789909363,67.14285714285714,100.0,-32.85714285714286,21,142,163,100.0,0,168,163,5,0.1,False,outputs/expanded_909/nearest_hard_gen,0.14650361239910126
expanded_909/random_hard,expanded_909,909,random_hard,0.0,100.0,83.80281690140845,91.18773946360152,0.0,0.0,0.0,0.7466454449154082,0.7813345789909363,67.14285714285714,100.0,-32.85714285714286,21,142,163,100.0,0,168,163,5,0.1,False,outputs/expanded_909/random_hard_gen,0.14650361239910126
expanded_909/median_hard,expanded_909,909,median_hard,0.0,100.0,84.50704225352112,91.6030534351145,0.0,0.0,0.0,0.21027091021339098,0.2843589782714844,68.57142857142857,100.0,-31.42857142857143,24,142,166,100.0,0,168,166,2,0.1,False,outputs/expanded_909/median_hard_gen,0.14650361239910126
expanded_909/least_sim_hard,expanded_909,909,least_sim_hard,0.0,100.0,84.50704225352112,91.6030534351145,0.0,0.0,0.0,0.2879592428604762,0.33895570039749146,68.57142857142857,100.0,-31.42857142857143,24,142,166,100.0,0,168,166,2,0.1,False,outputs/expanded_909/least_sim_hard_gen,0.14650361239910126
expanded_1116/nearest_hard,expanded_1116,1116,nearest_hard,95.83333333333334,4.166666666666657,67.13286713286713,7.8463424601552765,100.0,100.0,100.0,0.7187660038471222,0.7404365539550781,67.6056338028169,66.66666666666666,0.9389671361502394,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_1116/nearest_hard_gen,0.14650361239910126
expanded_1116/random_hard,expanded_1116,1116,random_hard,95.83333333333334,4.166666666666657,67.13286713286713,7.8463424601552765,100.0,100.0,100.0,0.7187660038471222,0.7404365539550781,67.6056338028169,66.66666666666666,0.9389671361502394,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_1116/random_hard_gen,0.14650361239910126
expanded_1116/median_hard,expanded_1116,1116,median_hard,0.0,100.0,66.66666666666666,80.0,0.0,0.0,0.0,0.24907764109472433,0.29813218116760254,66.66666666666666,66.66666666666666,0.0,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_1116/median_hard_gen,0.14650361239910126
expanded_1116/least_sim_hard,expanded_1116,1116,least_sim_hard,0.0,100.0,66.66666666666666,80.0,0.0,0.0,0.0,0.2668671278903882,0.3399032950401306,66.66666666666666,66.66666666666666,0.0,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_1116/least_sim_hard_gen,0.14650361239910126
expanded_1368/nearest_hard,expanded_1368,1368,nearest_hard,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.660518171886603,0.6842747926712036,100.0,100.0,0.0,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_1368/nearest_hard_gen,0.14650361239910126
