run_key,experiment_name,forget_id,policy,candidate_index,candidate_identity,similarity_to_forget,similarity_rank_ascending,selected
expanded_437/nearest_hard,expanded_437,437,nearest_hard,1,931,0.8855254650115967,3,True
expanded_437/nearest_hard,expanded_437,437,nearest_hard,2,1351,0.31231486797332764,2,False
expanded_437/nearest_hard,expanded_437,437,nearest_hard,3,7782,0.24753329157829285,1,False
expanded_437/random_hard,expanded_437,437,random_hard,1,931,0.8855254650115967,3,False
expanded_437/random_hard,expanded_437,437,random_hard,2,1351,0.31231486797332764,2,True
expanded_437/random_hard,expanded_437,437,random_hard,3,7782,0.24753329157829285,1,False
expanded_437/median_hard,expanded_437,437,median_hard,1,931,0.8855254650115967,3,False
expanded_437/median_hard,expanded_437,437,median_hard,2,1351,0.31231486797332764,2,True
expanded_437/median_hard,expanded_437,437,median_hard,3,7782,0.24753329157829285,1,False
expanded_437/least_sim_hard,expanded_437,437,least_sim_hard,1,931,0.8855254650115967,3,False
expanded_437/least_sim_hard,expanded_437,437,least_sim_hard,2,1351,0.31231486797332764,2,False
expanded_437/least_sim_hard,expanded_437,437,least_sim_hard,3,7782,0.24753329157829285,1,True
expanded_900/nearest_hard,expanded_900,900,nearest_hard,1,909,0.8597148060798645,3,True
expanded_900/nearest_hard,expanded_900,900,nearest_hard,2,238,0.3453413248062134,2,False
expanded_900/nearest_hard,expanded_900,900,nearest_hard,3,9671,0.2782435417175293,1,False
expanded_900/random_hard,expanded_900,900,random_hard,1,909,0.8597148060798645,3,True
expanded_900/random_hard,expanded_900,900,random_hard,2,238,0.3453413248062134,2,False
expanded_900/random_hard,expanded_900,900,random_hard,3,9671,0.2782435417175293,1,False
expanded_900/median_hard,expanded_900,900,median_hard,1,909,0.8597148060798645,3,False
expanded_900/median_hard,expanded_900,900,median_hard,2,238,0.3453413248062134,2,True
expanded_900/median_hard,expanded_900,900,median_hard,3,9671,0.2782435417175293,1,False
expanded_900/least_sim_hard,expanded_900,900,least_sim_hard,1,909,0.8597148060798645,3,False
expanded_900/least_sim_hard,expanded_900,900,least_sim_hard,2,238,0.3453413248062134,2,False
expanded_900/least_sim_hard,expanded_900,900,least_sim_hard,3,9671,0.2782435417175293,1,True
expanded_909/nearest_hard,expanded_909,909,nearest_hard,1,900,0.7515740394592285,3,True
expanded_909/nearest_hard,expanded_909,909,nearest_hard,2,238,0.253473699092865,1,False
expanded_909/nearest_hard,expanded_909,909,nearest_hard,3,610,0.34270578622817993,2,False
expanded_909/random_hard,expanded_909,909,random_hard,1,900,0.7515740394592285,3,True
expanded_909/random_hard,expanded_909,909,random_hard,2,238,0.253473699092865,1,False
expanded_909/random_hard,expanded_909,909,random_hard,3,610,0.34270578622817993,2,False
expanded_909/median_hard,expanded_909,909,median_hard,1,900,0.7515740394592285,3,False
expanded_909/median_hard,expanded_909,909,median_hard,2,238,0.253473699092865,1,False
expanded_909/median_hard,expanded_909,909,median_hard,3,610,0.34270578622817993,2,True
expanded_909/least_sim_hard,expanded_909,909,least_sim_hard,1,900,0.7515740394592285,3,False
expanded_909/least_sim_hard,expanded_909,909,least_sim_hard,2,238,0.253473699092865,1,True
expanded_909/least_sim_hard,expanded_909,909,least_sim_hard,3,610,0.34270578622817993,2,False
expanded_1116/nearest_hard,expanded_1116,1116,nearest_hard,1,2877,0.7938684225082397,3,True
expanded_1116/nearest_hard,expanded_1116,1116,nearest_hard,2,4600,0.23369872570037842,2,False
expanded_1116/nearest_hard,expanded_1116,1116,nearest_hard,3,7237,0.20468489825725555,1,False
expanded_1116/random_hard,expanded_1116,1116,random_hard,1,2877,0.7938684225082397,3,True
expanded_1116/random_hard,expanded_1116,1116,random_hard,2,4600,0.23369872570037842,2,False
expanded_1116/random_hard,expanded_1116,1116,random_hard,3,7237,0.20468489825725555,1,False
expanded_1116/median_hard,expanded_1116,1116,median_hard,1,2877,0.7938684225082397,3,False
expanded_1116/median_hard,expanded_1116,1116,median_hard,2,4600,0.23369872570037842,2,True
expanded_1116/median_hard,expanded_1116,1116,median_hard,3,7237,0.20468489825725555,1,False
expanded_1116/least_sim_hard,expanded_1116,1116,least_sim_hard,1,2877,0.7938684225082397,3,False
expanded_1116/least_sim_hard,expanded_1116,1116,least_sim_hard,2,4600,0.23369872570037842,2,False
expanded_1116/least_sim_hard,expanded_1116,1116,least_sim_hard,3,7237,0.20468489825725555,1,True
expanded_1368/nearest_hard,expanded_1368,1368,nearest_hard,1,1375,0.8327707052230835,3,True
expanded_1368/nearest_hard,expanded_1368,1368,nearest_hard,2,8722,0.28634607791900635,1,False
expanded_1368/nearest_hard,expanded_1368,1368,nearest_hard,3,384,0.29094403982162476,2,False
expanded_1368/random_hard,expanded_1368,1368,random_hard,1,1375,0.8327707052230835,3,False
expanded_1368/random_hard,expanded_1368,1368,random_hard,2,8722,0.28634607791900635,1,True
expanded_1368/random_hard,expanded_1368,1368,random_hard,3,384,0.29094403982162476,2,False
expanded_1368/median_hard,expanded_1368,1368,median_hard,1,1375,0.8327707052230835,3,False
expanded_1368/median_hard,expanded_1368,1368,median_hard,2,8722,0.28634607791900635,1,False
expanded_1368/median_hard,expanded_1368,1368,median_hard,3,384,0.29094403982162476,2,True
expanded_1368/least_sim_hard,expanded_1368,1368,least_sim_hard,1,1375,0.8327707052230835,3,False
expanded_1368/least_sim_hard,expanded_1368,1368,least_sim_hard,2,8722,0.28634607791900635,1,True
expanded_1368/least_sim_hard,expanded_1368,1368,least_sim_hard,3,384,0.29094403982162476,2,False
expanded_1375/nearest_hard,expanded_1375,1375,nearest_hard,1,1368,0.9101989269256592,3,True
expanded_1375/nearest_hard,expanded_1375,1375,nearest_hard,2,8722,0.31110602617263794,1,False
expanded_1375/nearest_hard,expanded_1375,1375,nearest_hard,3,384,0.3230573534965515,2,False
expanded_1375/random_hard,expanded_1375,1375,random_hard,1,1368,0.9101989269256592,3,False
expanded_1375/random_hard,expanded_1375,1375,random_hard,2,8722,0.31110602617263794,1,False
expanded_1375/random_hard,expanded_1375,1375,random_hard,3,384,0.3230573534965515,2,True
expanded_1375/median_hard,expanded_1375,1375,median_hard,1,1368,0.9101989269256592,3,False
expanded_1375/median_hard,expanded_1375,1375,median_hard,2,8722,0.31110602617263794,1,False
expanded_1375/median_hard,expanded_1375,1375,median_hard,3,384,0.3230573534965515,2,True
expanded_1375/least_sim_hard,expanded_1375,1375,least_sim_hard,1,1368,0.9101989269256592,3,False
expanded_1375/least_sim_hard,expanded_1375,1375,least_sim_hard,2,8722,0.31110602617263794,1,True
expanded_1375/least_sim_hard,expanded_1375,1375,least_sim_hard,3,384,0.3230573534965515,2,False
expanded_1489/nearest_hard,expanded_1489,1489,nearest_hard,1,1490,0.7436854839324951,3,True
expanded_1489/nearest_hard,expanded_1489,1489,nearest_hard,2,2930,0.2859888970851898,2,False
expanded_1489/nearest_hard,expanded_1489,1489,nearest_hard,3,358,0.27648264169692993,1,False
expanded_1489/random_hard,expanded_1489,1489,random_hard,1,1490,0.7436854839324951,3,False
expanded_1489/random_hard,expanded_1489,1489,random_hard,2,2930,0.2859888970851898,2,False
expanded_1489/random_hard,expanded_1489,1489,random_hard,3,358,0.27648264169692993,1,True
expanded_1489/median_hard,expanded_1489,1489,median_hard,1,1490,0.7436854839324951,3,False
expanded_1489/median_hard,expanded_1489,1489,median_hard,2,2930,0.2859888970851898,2,True
expanded_1489/median_hard,expanded_1489,1489,median_hard,3,358,0.27648264169692993,1,False
expanded_1489/least_sim_hard,expanded_1489,1489,least_sim_hard,1,1490,0.7436854839324951,3,False
expanded_1489/least_sim_hard,expanded_1489,1489,least_sim_hard,2,2930,0.2859888970851898,2,False
expanded_1489/least_sim_hard,expanded_1489,1489,least_sim_hard,3,358,0.27648264169692993,1,True
expanded_1490/nearest_hard,expanded_1490,1490,nearest_hard,1,1489,0.865782618522644,3,True
expanded_1490/nearest_hard,expanded_1490,1490,nearest_hard,2,2930,0.3777328133583069,2,False
expanded_1490/nearest_hard,expanded_1490,1490,nearest_hard,3,358,0.33047711849212646,1,False
expanded_1490/random_hard,expanded_1490,1490,random_hard,1,1489,0.865782618522644,3,False
expanded_1490/random_hard,expanded_1490,1490,random_hard,2,2930,0.3777328133583069,2,False
expanded_1490/random_hard,expanded_1490,1490,random_hard,3,358,0.33047711849212646,1,True
expanded_1490/median_hard,expanded_1490,1490,median_hard,1,1489,0.865782618522644,3,False
expanded_1490/median_hard,expanded_1490,1490,median_hard,2,2930,0.3777328133583069,2,True
expanded_1490/median_hard,expanded_1490,1490,median_hard,3,358,0.33047711849212646,1,False
expanded_1490/least_sim_hard,expanded_1490,1490,least_sim_hard,1,1489,0.865782618522644,3,False
expanded_1490/least_sim_hard,expanded_1490,1490,least_sim_hard,2,2930,0.3777328133583069,2,False
expanded_1490/least_sim_hard,expanded_1490,1490,least_sim_hard,3,358,0.33047711849212646,1,True
expanded_1629/nearest_hard,expanded_1629,1629,nearest_hard,1,1630,0.8942027688026428,3,True
expanded_1629/nearest_hard,expanded_1629,1629,nearest_hard,2,2953,0.36802545189857483,2,False
expanded_1629/nearest_hard,expanded_1629,1629,nearest_hard,3,6217,0.3220369517803192,1,False
expanded_1629/random_hard,expanded_1629,1629,random_hard,1,1630,0.8942027688026428,3,False
expanded_1629/random_hard,expanded_1629,1629,random_hard,2,2953,0.36802545189857483,2,True
expanded_1629/random_hard,expanded_1629,1629,random_hard,3,6217,0.3220369517803192,1,False
expanded_1629/median_hard,expanded_1629,1629,median_hard,1,1630,0.8942027688026428,3,False
expanded_1629/median_hard,expanded_1629,1629,median_hard,2,2953,0.36802545189857483,2,True
expanded_1629/median_hard,expanded_1629,1629,median_hard,3,6217,0.3220369517803192,1,False
expanded_1629/least_sim_hard,expanded_1629,1629,least_sim_hard,1,1630,0.8942027688026428,3,False
expanded_1629/least_sim_hard,expanded_1629,1629,least_sim_hard,2,2953,0.36802545189857483,2,False
expanded_1629/least_sim_hard,expanded_1629,1629,least_sim_hard,3,6217,0.3220369517803192,1,True
expanded_1630/nearest_hard,expanded_1630,1630,nearest_hard,1,1629,0.9016630053520203,3,True
expanded_1630/nearest_hard,expanded_1630,1630,nearest_hard,2,2953,0.3633449673652649,2,False
expanded_1630/nearest_hard,expanded_1630,1630,nearest_hard,3,6217,0.25095030665397644,1,False
expanded_1630/random_hard,expanded_1630,1630,random_hard,1,1629,0.9016630053520203,3,False
expanded_1630/random_hard,expanded_1630,1630,random_hard,2,2953,0.3633449673652649,2,False
expanded_1630/random_hard,expanded_1630,1630,random_hard,3,6217,0.25095030665397644,1,True
expanded_1630/median_hard,expanded_1630,1630,median_hard,1,1629,0.9016630053520203,3,False
expanded_1630/median_hard,expanded_1630,1630,median_hard,2,2953,0.3633449673652649,2,True
expanded_1630/median_hard,expanded_1630,1630,median_hard,3,6217,0.25095030665397644,1,False
